country,year,suicides_no,population,suicide_per_100k,gdp_per_capita
Argentina,1985,1988,27090800,7.338284584,3264
Argentina,1986,2284,27244400,8.383374198,4072
Argentina,1987,2286,27599400,8.282788756,4026
Argentina,1988,2354,28308000,8.315670482,4458
Argentina,1989,2247,28702000,7.828722737,2670
Argentina,1990,2140,29091100,7.356201725,4859
Argentina,1991,1951,29623000,6.58609864,6404
Argentina,1992,2184,30045400,7.268999581,7615
Argentina,1993,2230,30477500,7.316873103,7768
Argentina,1994,2241,30911200,7.249799425,8328
Argentina,1995,2204,31345400,7.031334741,8232
Argentina,1996,2229,31780700,7.013690699,8563
Argentina,1997,2184,32333781,6.754545656,9057
Argentina,1998,2347,32757259,7.164824139,9126
Argentina,1999,2423,33174862,7.303722921,8546
Argentina,2000,2774,33585533,8.25950864,8462
Argentina,2001,3132,34010946,9.208800014,7900
Argentina,2002,3162,34407507,9.189854993,2840
Argentina,2003,3289,34785907,9.45497842,3668
Argentina,2004,3121,35162945,8.875820839,4683
Argentina,2005,3058,35550617,8.601819766,5590
Argentina,2006,3108,35918886,8.652829601,6475
Argentina,2007,2946,36315492,8.112240363,7918
Argentina,2008,3059,36733520,8.327543889,9843
Argentina,2009,2884,37158001,7.761450892,8961
Argentina,2010,2943,37578454,7.831615425,11273
Argentina,2011,2912,38015739,7.65998525,13946
Argentina,2012,3248,38441778,8.449140932,14203
Argentina,2013,2987,38859125,7.686740244,14206
Argentina,2014,3231,39276555,8.226281557,13400
Argentina,2015,3073,39699624,7.740627468,14981
Belize,1986,3,146800,2.04359673,1552
Belize,1987,4,144069,2.776447397,1920
Belize,1989,1,153088,0.653219064,2372
Belize,1990,3,158000,1.898734177,2614
Belize,1991,2,162200,1.233045623,2742
Belize,1993,1,170800,0.585480094,3278
Belize,1994,8,170874,4.68181233,3399
Belize,1995,14,180500,7.756232687,3436
Belize,1996,8,180926,4.421697268,3545
Belize,1997,1,187650,0.532907008,3487
Belize,1998,12,195108,6.150439756,3531
Belize,1999,18,202699,8.880162211,3615
Belize,2000,18,210109,8.5669819,3960
Belize,2001,19,217279,8.744517418,4013
Belize,2002,14,224136,6.24620766,4161
Belize,2003,12,230890,5.19728009,4289
Belize,2004,20,237791,8.410747253,4449
Belize,2005,12,245020,4.897559383,4547
Belize,2006,11,252826,4.350818349,4815
Belize,2007,8,260667,3.069049784,4951
Belize,2008,11,268487,4.097032631,5098
Belize,2009,15,276189,5.431063511,4841
Belize,2010,15,283796,5.285486758,4923
Belize,2011,33,291662,11.31446675,5098
Belize,2012,18,298946,6.021154322,5264
Belize,2013,17,305888,5.557589706,5272
Belize,2014,24,312780,7.67312488,5448
Belize,2015,26,319835,8.129191614,5561
Brazil,1985,4228,117478900,3.598944151,1898
Brazil,1986,4271,118776400,3.595832169,2257
Brazil,1987,4672,122822467,3.803864321,2394
Brazil,1988,4466,125701294,3.552867165,2628
Brazil,1989,4463,128570308,3.471252476,3310
Brazil,1990,4803,131387553,3.655597422,3516
Brazil,1991,5156,134281850,3.839684961,4490
Brazil,1992,5207,137007021,3.800535157,2924
Brazil,1993,5508,139615477,3.945121356,3136
Brazil,1994,5896,142188450,4.146609658,3925
Brazil,1995,6536,144783591,4.514323726,5313
Brazil,1996,6698,147353130,4.545543077,5771
Brazil,1997,6891,149932627,4.596064338,5891
Brazil,1998,6922,152524311,4.538292915,5663
Brazil,1999,6507,155122073,4.194760858,3864
Brazil,2000,6763,157715991,4.288087693,4156
Brazil,2001,7710,160178796,4.813371178,3492
Brazil,2002,7697,162761414,4.729007822,3121
Brazil,2003,7839,165396911,4.739508104,3376
Brazil,2004,7995,167993068,4.759124942,3984
Brazil,2005,8529,170483960,5.002816687,5230
Brazil,2006,8618,172974722,4.982230872,6403
Brazil,2007,8855,175293192,5.051536742,7970
Brazil,2008,9184,177471632,5.17491156,9555
Brazil,2009,9346,179569551,5.20466858,9283
Brazil,2010,9429,181629712,5.191331251,12161
Brazil,2011,9822,183656441,5.34802915,14245
Brazil,2012,10295,185591215,5.547137563,13283
Brazil,2013,10513,187458852,5.608164079,13191
Brazil,2014,10631,189285554,5.616382114,12975
Brazil,2015,11163,191087085,5.841839076,9431
Chile,1985,683,10675400,6.39788673,1658
Chile,1986,654,10931700,5.982601059,1728
Chile,1987,693,11209000,6.182531894,1985
Chile,1988,697,11306000,6.164868212,2303
Chile,1989,725,11501000,6.30379967,2599
Chile,1990,743,11709000,6.345546161,2828
Chile,1991,787,11871000,6.62960155,3187
Chile,1992,658,12125000,5.426804124,3791
Chile,1993,740,12306400,6.013131379,4006
Chile,1994,801,12526600,6.394392732,4551
Chile,1995,930,12897643,7.210619801,5695
Chile,1996,917,13125089,6.986619291,5946
Chile,1997,910,13339550,6.821819327,6368
Chile,1998,1031,13543940,7.612260539,6023
Chile,1999,1041,13743882,7.574279232,5470
Chile,2000,1473,13943575,10.56400529,5584
Chile,2001,1625,14139590,11.49255389,5020
Chile,2002,1603,14332840,11.18410587,4866
Chile,2003,1654,14523758,11.38823712,5208
Chile,2004,1735,14710993,11.79390134,6744
Chile,2005,1682,14893574,11.29346119,8256
Chile,2006,1795,15071596,11.9098203,10270
Chile,2007,1848,15245435,12.12166134,11387
Chile,2008,2088,15415661,13.54466734,11653
Chile,2009,2148,15584149,13.78323577,11062
Chile,2010,2001,15751851,12.70326897,13874
Chile,2011,2027,15910783,12.73978785,15854
Chile,2012,1841,16075247,11.45239013,16617
Chile,2013,1738,16242244,10.70049188,17140
Chile,2014,1789,16406867,10.90397088,15883
Chile,2015,1838,16565725,11.09519807,14729
Colombia,1985,1001,25052400,3.99562517,1393
Colombia,1986,958,25585600,3.744293665,1366
Colombia,1987,951,28009432,3.395284845,1299
Colombia,1988,912,28649501,3.183301517,1369
Colombia,1989,831,29289829,2.837162347,1350
Colombia,1990,865,29930973,2.889982895,1346
Colombia,1991,1010,30584178,3.30236111,1348
Colombia,1992,1086,29615400,3.667011082,1664
Colombia,1993,1085,30242200,3.587701953,1845
Colombia,1994,1198,30874600,3.880212213,2646
Colombia,1995,1150,33090899,3.475275785,2796
Colombia,1996,1209,33703636,3.587150063,2883
Colombia,1997,1242,34338825,3.6168972,3106
Colombia,1998,2052,34987039,5.865029047,2814
Colombia,1999,2143,35629408,6.014694378,2419
Colombia,2000,2358,36252342,6.504407357,2755
Colombia,2001,2412,36884428,6.539345005,2662
Colombia,2002,2379,37478276,6.347677252,2613
Colombia,2003,2269,38044513,5.964066356,2489
Colombia,2004,2244,38604716,5.812761322,3033
