country,year,age,suicides_no,population,suicides_100k_pop
Suriname,1985,5-14 years,3,107000,2.803738318
Suriname,1985,15-24 years,24,105100,22.83539486
Suriname,1985,25-34 years,11,34400,31.97674419
Suriname,1985,35-54 years,27,43100,62.6450116
Suriname,1985,55-74 years,11,26700,41.19850187
Suriname,1985,75+ years,4,6400,62.5
Suriname,1986,5-14 years,1,81714,1.223780503
Suriname,1986,15-24 years,19,83520,22.74904215
Suriname,1986,25-34 years,8,57361,13.94675825
Suriname,1986,35-54 years,9,65830,13.67157831
Suriname,1986,55-74 years,2,31265,6.396929474
Suriname,1986,75+ years,3,6604,45.42701393
Suriname,1987,5-14 years,1,81577,1.225835713
Suriname,1987,15-24 years,16,83721,19.11109519
Suriname,1987,25-34 years,14,60633,23.08973661
Suriname,1987,35-54 years,13,67047,19.38938357
Suriname,1987,55-74 years,5,32340,15.46072975
Suriname,1987,75+ years,3,6695,44.80955937
Suriname,1988,5-14 years,0,82393,0
Suriname,1988,15-24 years,19,83940,22.63521563
Suriname,1988,25-34 years,12,64182,18.69683089
Suriname,1988,35-54 years,9,68693,13.10177165
Suriname,1988,55-74 years,7,33627,20.8166057
Suriname,1988,75+ years,2,6776,29.51593861
Suriname,1989,5-14 years,0,83929,0
Suriname,1989,15-24 years,14,83904,16.68573608
Suriname,1989,25-34 years,12,67541,17.76698598
Suriname,1989,35-54 years,20,70550,28.34868887
Suriname,1989,55-74 years,5,34991,14.2893887
Suriname,1989,75+ years,2,6808,29.37720329
Suriname,1990,5-14 years,1,88500,1.129943503
Suriname,1990,15-24 years,9,93000,9.677419355
Suriname,1990,25-34 years,10,69000,14.49275362
Suriname,1990,35-54 years,2,60000,3.333333333
Suriname,1990,55-74 years,1,33000,3.03030303
Suriname,1990,75+ years,3,5200,57.69230769
Suriname,1991,5-14 years,2,88035,2.271823706
Suriname,1991,15-24 years,14,82944,16.87885802
Suriname,1991,25-34 years,20,72959,27.41265642
Suriname,1991,35-54 years,14,74684,18.74564833
Suriname,1991,55-74 years,5,37546,13.31699782
Suriname,1991,75+ years,2,6911,28.93937202
Suriname,1992,5-14 years,2,90484,2.210335529
Suriname,1992,15-24 years,15,82093,18.27195985
Suriname,1992,25-34 years,13,74984,17.3370319
Suriname,1992,35-54 years,12,76934,15.59778511
Suriname,1992,55-74 years,6,38718,15.49666822
Suriname,1992,75+ years,0,6981,0
Suriname,1995,5-14 years,1,96992,1.031012867
Suriname,1995,15-24 years,17,79781,21.30833156
Suriname,1995,25-34 years,18,78395,22.960648
Suriname,1995,35-54 years,11,85155,12.91762081
Suriname,1995,55-74 years,7,42008,16.66349267
Suriname,1995,75+ years,1,7083,14.11831145
Suriname,1996,5-14 years,1,98140,1.018952517
Suriname,1996,15-24 years,4,80155,4.990331233
Suriname,1996,25-34 years,6,79075,7.587733165
Suriname,1996,35-54 years,7,88442,7.914791615
Suriname,1996,55-74 years,2,42624,4.692192192
Suriname,1996,75+ years,1,7369,13.57036233
Suriname,1997,5-14 years,3,98798,3.036498715
Suriname,1997,15-24 years,7,80586,8.686372323
Suriname,1997,25-34 years,8,79459,10.06808543
Suriname,1997,35-54 years,8,92174,8.679237095
Suriname,1997,55-74 years,5,43160,11.58480074
Suriname,1997,75+ years,1,7637,13.09414692
Suriname,1998,5-14 years,0,99135,0
Suriname,1998,15-24 years,3,81063,3.700825284
Suriname,1998,25-34 years,11,79620,13.81562422
Suriname,1998,35-54 years,11,96279,11.42512905
Suriname,1998,55-74 years,3,43640,6.874427131
Suriname,1998,75+ years,1,7869,12.70809506
Suriname,1999,5-14 years,0,99328,0
Suriname,1999,15-24 years,13,81667,15.91830237
Suriname,1999,25-34 years,11,79659,13.80886027
Suriname,1999,35-54 years,12,100466,11.94433938
Suriname,1999,55-74 years,10,44121,22.66494413
Suriname,1999,75+ years,3,8062,37.21161002
Suriname,2000,5-14 years,1,99480,1.005227181
Suriname,2000,15-24 years,12,82457,14.55303977
Suriname,2000,25-34 years,17,79693,21.33186102
Suriname,2000,35-54 years,17,104453,16.27526256
Suriname,2000,55-74 years,5,44672,11.19269341
Suriname,2000,75+ years,0,8246,0
Suriname,2001,5-14 years,2,100094,1.998121766
Suriname,2001,15-24 years,7,83298,8.403563111
